spreadsheet,column name,description,example values
biopsy_and_diagnosis_dates.csv,accessions,Anonymized session/accession identifier linking to BIDS subject ID,0001
biopsy_and_diagnosis_dates.csv,patientdurablekey,Anonymized patient identifier,0018; 0019; 0020
biopsy_and_diagnosis_dates.csv,BiopsyDate,Date of tissue biopsy (M/D/YY),6/3/13; 10/14/10; 9/13/14
biopsy_and_diagnosis_dates.csv,DiagnosisDate,Date of PCNSL diagnosis (M/D/YY),2/17/16; 1/31/13; 11/11/09
biopsy_and_diagnosis_dates.csv,ImageDate,Date of MRI imaging session (M/D/YY),2/2/16; 11/8/12; 10/25/09
biopsy_and_diagnosis_dates.csv,BiopsyDateMinusImageDate,Days between biopsy and imaging (positive = biopsy after imaging),-178; -34; 3
biopsy_and_diagnosis_dates.csv,DiagnosisDateMinusImageDate,Days between diagnosis and imaging (positive = diagnosis after imaging),15; 84; 17
demographics.csv,patientdurablekey,Anonymized patient identifier,0091; 0048; 0106
demographics.csv,Sex,Patient sex,Female; Male
demographics.csv,SexualOrientation,Patient sexual orientation,Straight; *Unspecified; Gay
demographics.csv,BirthDate,Patient date of birth (M/D/YY),1/2/47; 9/8/50; 9/8/46
demographics.csv,Deathdate,Patient date of death if applicable (M/D/YY),8/30/12; 5/31/19; 10/6/21
demographics.csv,PreferredLanguage,Patient preferred language,English; Vietnamese; Farsi
demographics.csv,FirstRace,Patient primary race,White; Asian; Other
demographics.csv,SecondRace,Patient secondary race if applicable,Asian; Other; White
demographics.csv,Ethnicity,Patient ethnicity,Hispanic or Latino; Not Hispanic or Latino; Unknown
diagnosis_history.csv,patientdurablekey,Anonymized patient identifier,0141; 0058; 0015
diagnosis_history.csv,DiagnosisEventKey,Unique hashed identifier for the diagnosis event,DC18752AC1E2A1; DED885984B8E0A
diagnosis_history.csv,DiagnosisKey,Unique numeric identifier for the diagnosis code,414082; 1430073; 1377341
diagnosis_history.csv,DiagnosisName,Name or description of the diagnosis,"Central hypothyroidism; Multiple myeloma, remission status unspecified (CMS code)"
diagnosis_history.csv,StartDateKey,Start date as integer in YYYYMMDD format,20201123; 20210108; 20181118
diagnosis_history.csv,StartDateKeyValue,Start date in M/DD/YY format,11/23/20; 1/8/21; 11/18/18
