file type,directory,filename pattern,description,example values
Raw Anatomy,sub-XXXX/ses-YYYY/anat,sub-XXXX_ses-YYYY_FLAIR.nii.gz,FLAIR (Fluid-Attenuated Inversion Recovery) MRI sequence in native acquisition space,NIfTI float32; shape varies per subject
Raw Anatomy,sub-XXXX/ses-YYYY/anat,sub-XXXX_ses-YYYY_T1w.nii.gz,Pre-contrast T1-weighted MRI sequence in native acquisition space,NIfTI float32; shape varies per subject
Raw Anatomy,sub-XXXX/ses-YYYY/anat,sub-XXXX_ses-YYYY_ce-gadolinium_T1w.nii.gz,Post-contrast (gadolinium) T1-weighted MRI sequence in native acquisition space,NIfTI float32; shape varies per subject
Raw Diffusion,sub-XXXX/ses-YYYY/dwi,sub-XXXX_ses-YYYY_DWI_ADC.nii.gz,Apparent Diffusion Coefficient (ADC) map derived from diffusion-weighted imaging in native acquisition space,NIfTI float32; shape varies per subject
Lesion Mask,derivatives/pyalfe/sub-XXXX/ses-YYYY/masks/lesions_seg_comp,sub-XXXX_ses-YYYY_FLAIR_abnormal_seg_comp.nii.gz,Connected-component labeled lesion segmentation mask in FLAIR native space. Each integer label (1-N) represents a distinct lesion.,Integer labels 0 (background) through N (up to 52 components observed); FLAIR native space
Lesion Mask,derivatives/pyalfe/sub-XXXX/ses-YYYY/masks/lesions_seg_comp,sub-XXXX_ses-YYYY_T1Post_abnormal_seg_comp.nii.gz,Connected-component labeled lesion segmentation mask in post-contrast T1 native space. Each integer label (1-N) represents a distinct lesion.,Integer labels 0 (background) through N; T1Post native space
Skullstripped,derivatives/pyalfe/sub-XXXX/ses-YYYY/skullstripped/lesions_FLAIR_space,sub-XXXX_ses-YYYY_FLAIR_to_FLAIR_skullstripped.nii.gz,Skull-stripped FLAIR image in FLAIR space,NIfTI float32; brain-extracted; 0 outside brain
Skullstripped,derivatives/pyalfe/sub-XXXX/ses-YYYY/skullstripped/lesions_FLAIR_space,sub-XXXX_ses-YYYY_T1Post_to_FLAIR_skullstripped.nii.gz,Post-contrast T1 coregistered to FLAIR space and skull-stripped,NIfTI float32; coregistered and brain-extracted
Skullstripped,derivatives/pyalfe/sub-XXXX/ses-YYYY/skullstripped/lesions_FLAIR_space,sub-XXXX_ses-YYYY_T1_to_FLAIR_skullstripped.nii.gz,Pre-contrast T1 coregistered to FLAIR space and skull-stripped,NIfTI float32; coregistered and brain-extracted
Skullstripped,derivatives/pyalfe/sub-XXXX/ses-YYYY/skullstripped/lesions_FLAIR_space,sub-XXXX_ses-YYYY_ADC_to_FLAIR_skullstripped.nii.gz,ADC map coregistered to FLAIR space and skull-stripped,NIfTI float32; coregistered and brain-extracted
Skullstripped,derivatives/pyalfe/sub-XXXX/ses-YYYY/skullstripped/lesions_T1Post_space,sub-XXXX_ses-YYYY_T1Post_to_T1Post_skullstripped.nii.gz,Skull-stripped post-contrast T1 image in T1Post space,NIfTI float32; brain-extracted; 0 outside brain
Skullstripped,derivatives/pyalfe/sub-XXXX/ses-YYYY/skullstripped/lesions_T1Post_space,sub-XXXX_ses-YYYY_FLAIR_to_T1Post_skullstripped.nii.gz,FLAIR coregistered to T1Post space and skull-stripped,NIfTI float32; coregistered and brain-extracted
Skullstripped,derivatives/pyalfe/sub-XXXX/ses-YYYY/skullstripped/lesions_T1Post_space,sub-XXXX_ses-YYYY_T1_to_T1Post_skullstripped.nii.gz,Pre-contrast T1 coregistered to T1Post space and skull-stripped,NIfTI float32; coregistered and brain-extracted
Skullstripped,derivatives/pyalfe/sub-XXXX/ses-YYYY/skullstripped/lesions_T1Post_space,sub-XXXX_ses-YYYY_ADC_to_T1Post_skullstripped.nii.gz,ADC map coregistered to T1Post space and skull-stripped,NIfTI float32; coregistered and brain-extracted
SummaryLesions CSV,derivatives/pyalfe/sub-XXXX/ses-YYYY/statistics/lesions_SummaryLesions,sub-XXXX_ses-YYYY_{FLAIR|T1Post}_SummaryLesions.csv,"Aggregate lesion statistics for all lesions in the subject. Two columns: Label (metric name) and Value. One row per metric, computed over all lesions combined.",Label and Value columns; 59 metrics per file
SummaryLesions CSV - total_lesion_volume,statistics/lesions_SummaryLesions,,Total volume of all lesions combined (mm^3),73343.98; 8588.97
SummaryLesions CSV - lesion_volume_in_background,statistics/lesions_SummaryLesions,,Lesion volume falling in background tissue class (mm^3),73.67; 0.0
SummaryLesions CSV - lesion_volume_in_csf,statistics/lesions_SummaryLesions,,Lesion volume falling in cerebrospinal fluid tissue class (mm^3),2187.75; 314.72
SummaryLesions CSV - lesion_volume_in_cortical_gray_matter,statistics/lesions_SummaryLesions,,Lesion volume falling in cortical gray matter tissue class (mm^3),24346.44; 6346.32
SummaryLesions CSV - lesion_volume_in_white_matter,statistics/lesions_SummaryLesions,,Lesion volume falling in white matter tissue class (mm^3),36406.00; 1878.75
SummaryLesions CSV - lesion_volume_in_deep_gray_matter,statistics/lesions_SummaryLesions,,Lesion volume falling in deep gray matter tissue class (mm^3),685.44; 49.19
SummaryLesions CSV - lesion_volume_in_brain_stem,statistics/lesions_SummaryLesions,,Lesion volume falling in brain stem tissue class (mm^3),0.0
